title,rating,director,genres
Pequena Mamãe,7.148,Céline Sciamma,"Drama, Fantasia"
Lady Bird - A Hora de Voar,7.265,Greta Gerwig,"Drama, Comédia"
O Reverso da Fortuna,6.634,Barbet Schroeder,Drama
David Byrne's American Utopia,7.464,Spike Lee,"Música, Documentário"
Assunto de Família,7.858,Hirokazu Koreeda,"Drama, Crime, Thriller"
Les Quatre Sœurs,6.3,Claude Lanzmann,Documentário
Toni Erdmann,6.968,Maren Ade,"Comédia, Drama"
O Discreto Charme da Burguesia,7.49,Luis Buñuel,Comédia
Joias Brutas,7.152,Josh Safdie,"Drama, Thriller, Crime"
Inside Llewyn Davis: Balada de um Homem Comum,7.195,Ethan Coen,"Drama, Música"
Nossos Corpos,8.3,Claire Simon,Documentário
Sherpa,7.453,Jennifer Peedom,Documentário
Sangue Negro,8.081,Paul Thomas Anderson,Drama
A Última Sessão de Cinema,7.649,Peter Bogdanovich,Drama
É Difícil Ser Um Deus,6.6,Aleksei German Sr.,"Drama, Ficção científica"
Faça a Coisa Certa,7.76,Spike Lee,Drama
Sita Sings the Blues,7.0,Nina Paley,"Animação, Drama, Música, Romance, Fantasia"
The Decline of Western Civilization,7.168,Penelope Spheeris,"Documentário, Música"
TÁR,7.088,Todd Field,"Drama, Música"
Brother's Keeper,6.913,Bruce Sinofsky,Documentário
Terra de Ninguém,7.505,Terrence Malick,"Crime, Drama, Romance"
Sankofa,6.0,Haile Gerima,"Drama, Fantasia, História, Ficção científica"
Crumb,7.544,Terry Zwigoff,Documentário
Boonie Bears – Uma Aventura no Passado,6.9,丁亮,"Animação, Família, Aventura, Fantasia"
Spotlight: Segredos Revelados,7.818,Tom McCarthy,"Drama, História"
One More Time with Feeling,7.841,Andrew Dominik,"Documentário, Música"
Sugarcane,0.0,Emily Kassie,Documentário
Memória,6.014,Apichatpong Weerasethakul,"Drama, Ficção científica, Mistério"
O Escafandro e a Borboleta,7.567,Julian Schnabel,"Drama, História"
Close-Up,7.904,Abbas Kiarostami,"Crime, Drama"
The Classic,7.5,곽재용,"Drama, Romance"
Platoon,7.742,Oliver Stone,"Drama, Guerra, Ação"
Onde os Fracos Não Têm Vez,7.944,Joel Coen,"Crime, Drama, Thriller"
Chinatown,7.916,Roman Polanski,"Crime, Drama, Mistério, Thriller"
Here,0.0,Robert Zemeckis,Drama
Here,0.0,Robert Zemeckis,Drama
Here,0.0,Robert Zemeckis,Drama
Here,0.0,Robert Zemeckis,Drama
35 Doses de Rum,6.829,Claire Denis,Drama
Apocalypse Now,8.279,Francis Ford Coppola,"Drama, Guerra"
