title,rating,director,genres
Newtown,6.689,Kim A. Snyder,Documentário
Poetry,0.0,Sian Davies,Drama
Se a Rua Beale Falasse,6.9,Barry Jenkins,"Romance, Drama"
Restless Creature: Wendy Whelan,6.6,Adam Schlesinger,Documentário
Birdman ou (A Inesperada Virtude da Ignorância),7.466,Alejandro González Iñárritu,"Drama, Comédia"
Shine - Brilhante,7.386,Scott Hicks,Drama
Aftershock: Um Choque de Realidade,7.5,Paula Eiselt,Documentário
Aftershock: Um Choque de Realidade,7.5,Paula Eiselt,Documentário
Aftershock: Um Choque de Realidade,7.5,Paula Eiselt,Documentário
Aftershock: Um Choque de Realidade,7.5,Paula Eiselt,Documentário
Poderia Me Perdoar?,6.807,Marielle Heller,"Drama, Crime, Comédia"
Wolfwalkers,8.221,Tomm Moore,"Animação, Família, Aventura, Fantasia"
Meu Amigo Totoro,8.1,Hayao Miyazaki,"Fantasia, Animação, Família"
A Imagem que Falta,7.122,Rithy Panh,Documentário
"Viajo Porque Preciso, Volto Porque Te Amo",7.2,Karim Aïnouz,Drama
"Mon Père, le Diable",5.7,Ellie Foumbi,"Mistério, Thriller, Drama"
The Body Remembers When the World Broke Open,7.5,Elle-Máijá Tailfeathers,Drama
Amadeus,8.032,Miloš Forman,"História, Música, Drama"
Of men and war,6.9,Laurent Bécue-Renard,"Documentário, Guerra"
Um Perigoso Adeus,7.4,Robert Altman,"Mistério, Crime, Thriller"
Dor e Glória,7.4,Pedro Almodóvar,Drama
Arca Russa,7.3,Aleksandr Sokurov,"Drama, Fantasia, História"
The Farthest,7.676,Emer Reynolds,Documentário
GOMORRAH,0.0,Aaron J McIntyre,Drama
Ser e Ter,7.266,Nicolas Philibert,Documentário
Uma Noite sem Saber Nada,6.938,Payal Kapadia,"Documentário, Romance"
Eraserhead,7.365,David Lynch,Terror
Retorno a Seul,6.247,Davy Chou,Drama
The Velvet Underground,6.799,Todd Haynes,"Documentário, Música"
Tudo O Que Respira,6.898,Shaunak Sen,"Documentário, Drama"
Attica: A Rebelião Sangrenta,5.7,Marvin J. Chomsky,"Drama, História, Cinema TV"
Can You Bring It: Bill T. Jones and D-Man in the Waters,0.0,Rosalynde LeBlanc,Documentário
Mami Wata,5.857,C.J. 'Fiery' Obasi,"Drama, Fantasia, Thriller"
A Liberdade é Azul,7.652,Krzysztof Kieślowski,Drama
@In the Mood for Love,6.8,Wong Kar-wai,Documentário
Fogo no Mar,6.647,Gianfranco Rosi,Documentário
Verdades e Mentiras,7.4,Orson Welles,Documentário
O Homem-Urso,7.533,Werner Herzog,Documentário
A Voz Suprema do Blues,6.672,George C. Wolfe,"Drama, Música"
Nível Cinco,6.269,Chris Marker,"Documentário, Guerra, Ficção científica"
Meu Amigo Robô,8.1,Pablo Berger,"Animação, Drama, Comédia, Ficção científica"
Um Passo em Falso,6.6,Carl Franklin,"Crime, Drama, Thriller"
O Último Navio Negreiro,6.385,Margaret Brown,"Documentário, História"
En el Séptimo Día,6.7,Jim McKay,Drama
Jane: A Mãe dos Chimpanzés,7.5,Brett Morgen,Documentário
탑,6.2,홍상수,Drama
Tubarão,7.664,Steven Spielberg,"Terror, Thriller, Aventura"
Nós Somos as Melhores!,6.942,Lukas Moodysson,"Drama, Música"
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.1,Martin Scorsese,"Documentário, Música"
Sobre a Eternidade,6.486,Roy Andersson,"Drama, Fantasia"
De Volta para o Futuro,8.317,Robert Zemeckis,"Aventura, Comédia, Ficção científica"
Nomadland,7.206,Chloé Zhao,Drama
Uma Mulher Fatal,5.3,Erik de Bruyn,Drama
Voyage à travers le cinéma français,7.5,Bertrand Tavernier,"Documentário, História"
O Diário de Uma Adolescente,6.584,Marielle Heller,"Drama, Romance"
Lincoln,6.857,Steven Spielberg,"História, Drama"
Elena,7.32,Petra Costa,"Documentário, Drama"
Elena,7.32,Petra Costa,"Documentário, Drama"
Elena,7.32,Petra Costa,"Documentário, Drama"
Elena,7.32,Petra Costa,"Documentário, Drama"
Até o Fim,6.639,J.C. Chandor,"Ação, Aventura, Drama"
Os Banshees de Inisherin,7.46,Martin McDonagh,"Drama, Comédia"
Hereditário,7.289,Ari Aster,"Terror, Mistério, Thriller"
A verdade sobre Marlon Brando,7.493,Stevan Riley,Documentário
Gideon's Army,7.1,Dawn Porter,Documentário
O Fugitivo,7.466,Andrew Davis,"Ação, Thriller, Drama"
A Morte do Sr. Lazarescu,7.3,Cristi Puiu,"Drama, Comédia"
Maria Cheia de Graça,7.212,Joshua Marston,"Drama, Thriller, Crime"
Shakespeare Apaixonado,6.867,John Madden,"Romance, História, Comédia"
Marcas da Guerra,6.916,Lajos Koltai,"Guerra, Drama"
Lazzaro Felice,7.403,Alice Rohrwacher,"Drama, Fantasia"
Sob a Névoa da Guerra,7.7,Errol Morris,"Documentário, Cinema TV, História, Guerra"
All Dirt Roads Taste of Salt,5.8,Raven Jackson,Drama
"Tio Boonmee, que Pode Recordar Suas Vidas Passadas",6.656,Apichatpong Weerasethakul,"Drama, Fantasia"
O Segredo de Brokeback Mountain,7.799,李安,"Drama, Romance"
O Garoto da Bicicleta,7.1,Luc Dardenne,Drama
Homem-Aranha: No Aranhaverso,8.401,Bob Persichetti,"Animação, Ação, Aventura, Ficção científica"
Blue Jean,6.879,Georgia Oakley,Drama
O Sacrifício,4.296,Neil LaBute,"Terror, Mistério, Thriller"
O Sacrifício,4.296,Neil LaBute,"Terror, Mistério, Thriller"
O Sacrifício,4.296,Neil LaBute,"Terror, Mistério, Thriller"
O Sacrifício,4.296,Neil LaBute,"Terror, Mistério, Thriller"
A Tragédia de Macbeth,6.943,Joel Coen,"Drama, Guerra"
Mulholland Dr.,7.8,David Lynch,"Thriller, Cinema TV, Drama, Mistério"
Particle Fever,7.06,Mark Levinson,Documentário
Tarnation,6.891,Jonathan Caouette,"Documentário, Drama"
Microcosmos,8.0,牧野貴,
Murderball - Paixão e Glória,7.045,Henry Alex Rubin,Documentário
Life Itself - A Vida de Roger Ebert,7.515,Steve James,Documentário
Life Itself - A Vida de Roger Ebert,7.515,Steve James,Documentário
Life Itself - A Vida de Roger Ebert,7.515,Steve James,Documentário
Life Itself - A Vida de Roger Ebert,7.515,Steve James,Documentário
A Forma da Água,7.245,Guillermo del Toro,"Drama, Fantasia, Romance"
De Volta ao Início,6.9,Mae Cruz-Alviar,"Drama, Romance, Ficção científica"
Caché,7.045,Michael Haneke,"Mistério, Drama, Thriller"
Le Roi et l'Oiseau,7.7,Paul Grimault,"Animação, Família, Fantasia"
Bisbee '17,7.0,Robert Greene,"Documentário, História"
Perseguidor Implacável,7.462,Don Siegel,"Ação, Crime, Thriller"
Gregory Crewdson: Brief Encounters,7.176,Ben Shapiro,Documentário
Autobiografia lui Nicolae Ceaușescu,7.8,Andrei Ujică,Documentário
O Homem Que Mudou o Jogo,7.28,Bennett Miller,Drama
Tudo Sobre Minha Mãe,7.6,Pedro Almodóvar,"Comédia, Drama"
Três é Demais,7.4,Wes Anderson,"Comédia, Drama"
O Duque de Burgundy,6.3,Peter Strickland,"Drama, Mistério, Romance"
Três Lembranças da Minha Juventude,6.6,Arnaud Desplechin,Drama
O Vento nos Levará,7.111,Abbas Kiarostami,Drama
What the Constitution Means to Me,7.5,Marielle Heller,Drama
Black Box Diaries,0.0,Shiori Itō,Documentário
Força Maior,6.2,Pierre Jolivet,Drama
Tampopo,7.8,伊丹十三,Comédia
Um Tiro na Noite,7.371,Brian De Palma,"Thriller, Mistério, Crime"
Diana da Fraça,5.7,David Miller,"Drama, História, Romance"
Ten,4.1,Sophia Cacciola,"Aventura, Terror, Mistério, Thriller"
Playground,8.5,Libby Spears,Documentário
Tangerina,6.923,Sean Baker,"Comédia, Drama"
The Tillman Story,7.1,Amir Bar-Lev,Documentário
Renaissance: Um Filme de Beyoncé,8.611,Beyoncé,"Música, Documentário"
O Quarto de Jack,8.022,Lenny Abrahamson,"Drama, Thriller"
O Quarto de Jack,8.022,Lenny Abrahamson,"Drama, Thriller"
O Quarto de Jack,8.022,Lenny Abrahamson,"Drama, Thriller"
O Quarto de Jack,8.022,Lenny Abrahamson,"Drama, Thriller"
Um Dia de Cão,7.84,Sidney Lumet,"Crime, Drama, Thriller"
"Sexo, Mentiras e Videotape",6.9,Steven Soderbergh,Drama
Vestígios do Dia,7.379,James Ivory,"Drama, Romance"
The Wolf House,0.0,Nicholas Clausen,Documentário
Um Elefante Sentado Quieto,7.698,Hu Bo,Drama
Anatomia de uma Queda,7.574,Justine Triet,"Thriller, Mistério, Crime"
O Paciente Inglês,7.179,Anthony Minghella,"Drama, Romance, Guerra"
Folhas de Outono,7.277,Aki Kaurismäki,"Romance, Comédia, Drama"
Nebraska,7.435,Alexander Payne,"Drama, Aventura"
Like Water for Chocolate,6.3,Christopher Wheeldon,"Família, Romance, Drama"
Gente Como a Gente,7.456,Robert Redford,Drama
Sob a Areia,6.7,François Ozon,"Drama, Mistério"
Divino Amor,6.0,Gabriel Mascaro,"Drama, Ficção científica"
Homem-Aranha: Através do Aranhaverso,8.358,Kemp Powers,"Animação, Ação, Aventura, Ficção científica"
Stand Clear of the Closing Doors,6.2,Sam Fleischner,Drama
Almas Gêmeas,6.98,Peter Jackson,"Drama, Fantasia"
O Apanhador de Sonhos,5.618,Lawrence Kasdan,"Drama, Terror, Ficção científica, Thriller"
O Apanhador de Sonhos,5.618,Lawrence Kasdan,"Drama, Terror, Ficção científica, Thriller"
O Apanhador de Sonhos,5.618,Lawrence Kasdan,"Drama, Terror, Ficção científica, Thriller"
O Apanhador de Sonhos,5.618,Lawrence Kasdan,"Drama, Terror, Ficção científica, Thriller"
Ricardo III,6.7,Richard Loncraine,"Drama, Guerra"
42 Up,7.635,Michael Apted,Documentário
Uma História Real,7.72,David Lynch,Drama
Menina de Ouro,8.0,Clint Eastwood,Drama
Os Últimos Dias no Vietnã,7.193,Rory Kennedy,"Guerra, Documentário"
Krisha,6.8,Trey Edward Shults,Drama
Dawson City: Tempo Congelado,6.8,Bill Morrison,Documentário
Fortuna Perigosa,6.338,Alejandro Brugués,Terror
Fortuna Perigosa,6.338,Alejandro Brugués,Terror
Fortuna Perigosa,6.338,Alejandro Brugués,Terror
Fortuna Perigosa,6.338,Alejandro Brugués,Terror
O Babadook,6.522,Jennifer Kent,"Drama, Terror"
Melhores Amigos,6.565,Ira Sachs,Drama
Gêmeos: Mórbida Semelhança,7.122,David Cronenberg,"Thriller, Terror"
Boogie Nights: Prazer Sem Limites,7.642,Paul Thomas Anderson,Drama
Minhas Mães e Meu Pai,6.607,Lisa Cholodenko,"Comédia, Drama"
Bem-vindo à Chechênia,7.012,David France,Documentário
Manakamana,7.5,Stephanie Spray,Documentário
A Caverna dos Sonhos Esquecidos,7.114,Werner Herzog,Documentário
King of the Hill,6.797,Steven Soderbergh,"Drama, História"
Carrie: A Estranha,6.035,Kimberly Peirce,"Drama, Terror"
Carrie: A Estranha,6.035,Kimberly Peirce,"Drama, Terror"
Carrie: A Estranha,6.035,Kimberly Peirce,"Drama, Terror"
Carrie: A Estranha,6.035,Kimberly Peirce,"Drama, Terror"
A Tartaruga Vermelha,7.5,Michael Dudok de Wit,"Animação, Drama, Fantasia, Família"
Esperança e Glória,6.827,John Boorman,"Drama, Guerra, Família"
Minha Família Feliz,7.2,Simon Groß,Drama
How to Survive a Plague,6.803,David France,"Documentário, História"
Em Busca dos Corais,7.7,Jeff Orlowski,Documentário
Loveless,3.3,Ramin Serry,"Comédia, Drama"
Loveless,3.3,Ramin Serry,"Comédia, Drama"
Loveless,3.3,Ramin Serry,"Comédia, Drama"
Loveless,3.3,Ramin Serry,"Comédia, Drama"
Esculturas da Vida,5.663,Kelly Reichardt,"Comédia, Drama"
Entre Quatro Paredes,6.918,Todd Field,"Drama, Thriller"
Barbara,7.186,Christian Petzold,Drama
Homens e Deuses,6.674,Xavier Beauvois,"Drama, História"
Um Sonho Sem Limites,6.579,Gus Van Sant,"Drama, Comédia, Crime"
Plano-Sequência dos Mortos,7.637,Shinichiro Ueda,"Comédia, Terror"
Museu,6.6,Alonso Ruizpalacios,"Crime, Drama"
O Indomável: Assim é Minha Vida,6.859,Robert Benton,"Drama, Comédia"
O Indomável: Assim é Minha Vida,6.859,Robert Benton,"Drama, Comédia"
O Indomável: Assim é Minha Vida,6.859,Robert Benton,"Drama, Comédia"
O Indomável: Assim é Minha Vida,6.859,Robert Benton,"Drama, Comédia"
Antes Que o Diabo Saiba Que Você Está Morto,7.103,Sidney Lumet,"Crime, Drama, Thriller"
Estranhos no Paraíso,7.155,Jim Jarmusch,"Comédia, Drama"
As Praias de Agnès,7.645,Agnès Varda,Documentário
Indiana Jones e os Caçadores da Arca Perdida,7.928,Steven Spielberg,"Aventura, Ação"
Eu Vi o Brilho da TV,6.009,Jane Schoenbrun,"Drama, Terror"
Livrai-nos do Mal,6.241,Scott Derrickson,"Thriller, Crime, Terror"
Segredos de um Escândalo,6.664,Todd Haynes,Drama
Maidan-E-Jung,7.5,K. C. Bokadia,"Ação, Drama"
Digam o Que Quiserem,7.045,Cameron Crowe,"Romance, Comédia, Drama"
Guerra às Drogas,6.9,杜琪峯,"Ação, Drama, Crime"
The Great American Beauty Contest,6.0,Robert Day,"Cinema TV, Drama"
Vitalina Varela,6.783,Pedro Costa,Drama
Happening,0.0,Marc Boureau,Drama
"Patton, Rebelde ou Herói?",7.507,Franklin J. Schaffner,"Guerra, Drama, História"
A Filha Perdida,6.537,Maggie Gyllenhaal,Drama
Black Mother,6.6,Khalik Allah,Documentário
Doentes de Amor,7.347,Michael Showalter,"Comédia, Drama, Romance"
Argo,7.277,Ben Affleck,"Drama, Thriller"
O Pão Nosso,6.75,King Vidor,"Drama, Romance"
Fale com Ela,7.6,Pedro Almodóvar,"Drama, Romance"
Traffic: Ninguém Sai Limpo,7.061,Steven Soderbergh,"Thriller, Drama, Crime"
Os Imorais,6.5,Stephen Frears,"Crime, Drama"
Horas de Verão,6.423,Olivier Assayas,Drama
O Mestre,7.133,Paul Thomas Anderson,Drama
Meninos Não Choram,7.412,Kimberly Peirce,"Crime, Drama"
A Árvore dos Frutos Selvagens,7.5,Nuri Bilge Ceylan,Drama
Meu País Imaginário,6.8,Patricio Guzmán,Documentário
Vozes Distantes,6.839,Terence Davies,"Drama, Música"
Nausicaä do Vale do Vento,7.94,Hayao Miyazaki,"Aventura, Animação, Fantasia"
Aladdin,7.653,John Musker,"Animação, Família, Aventura, Fantasia, Romance"
Aladdin,7.653,John Musker,"Animação, Família, Aventura, Fantasia, Romance"
Aladdin,7.653,John Musker,"Animação, Família, Aventura, Fantasia, Romance"
Aladdin,7.653,John Musker,"Animação, Família, Aventura, Fantasia, Romance"
Los Angeles por Ela Mesma,7.647,Thom Andersen,Documentário
Isto É Inglaterra,7.473,Shane Meadows,"Drama, Crime"
Roda do destino,7.133,Ryusuke Hamaguchi,"Drama, Romance"
Cidade Fantasma,5.897,Matt Dillon,Thriller
Cidade Fantasma,5.897,Matt Dillon,Thriller
Cidade Fantasma,5.897,Matt Dillon,Thriller
Cidade Fantasma,5.897,Matt Dillon,Thriller
小城之春,6.85,Tian Zhuangzhuang,"Drama, Romance"
O Jogador,7.196,Robert Altman,"Mistério, Drama, Thriller"
Felizes Dezesseis,7.0,Ken Loach,"Crime, Drama"
Um Filho,6.709,Florian Zeller,Drama
Um Filho,6.709,Florian Zeller,Drama
Um Filho,6.709,Florian Zeller,Drama
Um Filho,6.709,Florian Zeller,Drama
Ponyo - Uma Amizade que Veio do Mar,7.744,Hayao Miyazaki,"Animação, Fantasia, Família"
A Última Missão,7.0,Hal Ashby,"Drama, Comédia"
Strong Island,6.4,Yance Ford,Documentário
The Interrupters,6.857,Steve James,Documentário
Indústria Americana,7.176,Julia Reichert,Documentário
No Coração da Escuridão,7.0,Paul Schrader,Drama
Em Ritmo de Fuga,7.452,Edgar Wright,"Ação, Crime"
Super/Man: A História de Christopher Reeve,0.0,Ian Bonhôte,Documentário
O Silêncio dos Inocentes,8.349,Jonathan Demme,"Crime, Drama, Thriller"
Sabaya,6.9,Hogir Hirori,Documentário
Indomável Sonhadora,6.8,Benh Zeitlin,"Drama, Fantasia"
Let the Fire Burn,7.652,Jason Osder,Documentário
Last Train Home,0.5,Randy Bradshaw,"Drama, Família, Aventura"
Crip Camp: Revolução pela Inclusão,7.165,James Lebrecht,Documentário
Andy Warhol: A Documentary Film,8.2,Ric Burns,Documentário
Uma Bela Manhã,6.558,Mia Hansen-Løve,"Romance, Drama"
A Dupla Vida de Véronique,7.5,Krzysztof Kieślowski,Drama
A Viagem do Balão Vermelho,6.094,侯孝賢,"Família, Drama"
O Poder da Sedução,6.766,John Dahl,"Thriller, Crime, Romance, Drama"
A Longa Caminhada,7.3,Nicolas Roeg,"Aventura, Drama"
Atlantique,6.8,Mati Diop,"Drama, Romance, Fantasia"
Antes do Anoitecer,6.638,Julian Schnabel,Drama
Acordar para a vida,7.477,Richard Linklater,"Animação, Drama"
A Lenda do Cavaleiro Verde,6.593,David Lowery,"Aventura, Drama, Fantasia"
The First Wave,6.839,Matthew Heineman,"Documentário, História"
Cada Um Vive Como Quer,7.1,Bob Rafelson,Drama
O Ultimato Bourne,7.431,Paul Greengrass,"Ação, Drama, Mistério, Thriller"
Harry Potter e as Relíquias da Morte - Parte 2,8.1,David Yates,"Fantasia, Aventura"
Chá Com as Damas,6.796,Roger Michell,Documentário
Atleta A,7.6,Jon Shenk,Documentário
O Abrigo,7.039,Jeff Nichols,"Thriller, Drama, Terror"
The Salesman,8.0,Richard Corso,"Comédia, Drama, Fantasia"
O Pianista,8.382,Roman Polanski,"Drama, Guerra"
Conte Comigo,6.828,Kenneth Lonergan,Drama
Children Underground,7.348,Edet Belzberg,Documentário
Corra!,7.623,Jordan Peele,"Mistério, Thriller, Terror"
O Massacre de Nanquim,7.4,陆川,"Drama, História, Guerra"
"Amor, Sublime Amor",7.3,Robert Wise,"Crime, Drama, Romance"
Jogando com a Sorte,6.6,Robert Altman,"Comédia, Drama"
A Canção do Oceano,8.007,Tomm Moore,"Família, Animação, Fantasia"
Amy,7.6,Asif Kapadia,"Documentário, Música"
Amy,7.6,Asif Kapadia,"Documentário, Música"
Amy,7.6,Asif Kapadia,"Documentário, Música"
Amy,7.6,Asif Kapadia,"Documentário, Música"
Auf der anderen Seite,7.212,Fatih Akin,Drama
A Família Savage,6.836,Tamara Jenkins,"Drama, Comédia"
Birds of Passage,0.0,Neil Hollander,"Drama, Aventura, Thriller, Ação, Crime"
Gimme Shelter,7.4,Charlotte Zwerin,"Documentário, Música"
Gimme Shelter,7.4,Charlotte Zwerin,"Documentário, Música"
Gimme Shelter,7.4,Charlotte Zwerin,"Documentário, Música"
Gimme Shelter,7.4,Charlotte Zwerin,"Documentário, Música"
Quando Meus Pais Não Estão em Casa,7.0,Anthony Chen,"Drama, Família"
Educação,6.9,Lone Scherfig,"Drama, Romance"
Líbano,6.5,Samuel Maoz,"Drama, Guerra"
To the Ends of the Earth,5.6,Robert Stevenson,Thriller
Amor Até As Cinzas,6.854,Jia Zhangke,"Crime, Romance, Drama"
ATEEZ Turnê Mundial - The Fellowship: Map the Treasure em Seoul,0.0,Desconhecido,Música
A Noite Cairá,7.575,André Singer,Documentário
I Am Another You,7.6,Nanfu Wang,Documentário
The Endurance: Shackleton's Legendary Antarctic Expedition,6.779,George Butler,"Documentário, História"
Amor Ilícito,5.0,Chris Thomson,"Drama, Romance"
Domando o Destino,7.279,Chloé Zhao,"Drama, Faroeste"
Oitava Série,7.165,Bo Burnham,"Comédia, Drama"
Bansky Pinta a Parede,7.536,Banksy,Documentário
Na Corda Bamba,7.529,Billy Bob Thornton,Drama
A Novata,6.5,Lauren Hadaway,Drama
Girlhood,6.6,Liz Garbus,"Documentário, Crime"
Girlhood,6.6,Liz Garbus,"Documentário, Crime"
Girlhood,6.6,Liz Garbus,"Documentário, Crime"
Girlhood,6.6,Liz Garbus,"Documentário, Crime"
Let's Get Lost,7.134,Bruce Weber,"Música, Documentário"
Offside,5.294,Mårten Klingberg,Drama
O Ornitólogo,6.086,João Pedro Rodrigues,"Aventura, Drama, Mistério"
O Serviço de Entregas da Kiki,7.826,Hayao Miyazaki,"Animação, Família, Fantasia"
Mona Lisa e a Lua de Sangue,6.316,Ana Lily Amirpour,"Mistério, Fantasia, Thriller"
Tales of the Grim Sleeper,6.4,Nick Broomfield,"Crime, Documentário"
Ligeiramente Grávidos,6.286,Judd Apatow,"Comédia, Romance, Drama"
Tartarugas podem Voar,7.687,Bahman Ghobadi,Drama
Os Infiltrados,8.166,Martin Scorsese,"Drama, Thriller, Crime"
Festival Express,7.068,Frank Cvitanovich,"Documentário, História, Música"
Abril e o Mundo Extraordinário,7.006,Franck Ekinci,"Thriller, Aventura, Animação, Comédia, Fantasia, Ficção científica"
"Primavera, Verão, Outono, Inverno e... Primavera",7.815,김기덕,Drama
O Espião Que Sabia Demais,6.627,Tomas Alfredson,"Drama, Thriller, Mistério"
Support the Girls,6.0,Andrew Bujalski,"Drama, Comédia"
Half Nelson: Encurralados,6.645,Ryan Fleck,Drama
Vencer,6.717,Marco Bellocchio,"Drama, História"
Susie e os Baker Boys,6.609,Steve Kloves,"Comédia, Drama, Música, Romance"
O Informante,7.452,Michael Mann,"Drama, Thriller"
Street Fighter: A Última Batalha,4.576,Steven E. de Souza,"Ação, Aventura, Comédia, Thriller"
The Girl in the Sun,6.6,三木孝浩,"Drama, Romance, Fantasia"
Love and Diane,5.7,Jennifer Dworkin,Documentário
Domestic Violence,6.0,Frederick Wiseman,Documentário
As Confissões de Schmidt,6.835,Alexander Payne,"Drama, Comédia"
Herói por Acidente,6.264,Stephen Frears,"Comédia, Drama"
Herói por Acidente,6.264,Stephen Frears,"Comédia, Drama"
Herói por Acidente,6.264,Stephen Frears,"Comédia, Drama"
Herói por Acidente,6.264,Stephen Frears,"Comédia, Drama"
Alcarràs,6.866,Carla Simón,Drama
No Interior do Alabama: A Vida em Hale County,5.86,RaMell Ross,Documentário
O Sabor da Vida,7.063,Trần Anh Hùng,"Romance, Drama"
Neil Young: Heart of Gold,7.344,Jonathan Demme,"Documentário, Música"
당신얼굴 앞에서,6.8,홍상수,Drama
Identidade,6.3,Rebecca Hall,Drama
Lágrimas Sobre o Mississipi,7.4,Dee Rees,Drama
Minha Vida de Abobrinha,7.808,Claude Barras,"Animação, Comédia, Drama, Família, Romance"
In the Same Breath: Verdades e Mentiras da Pandemia,7.1,Nanfu Wang,Documentário
Atlantis,6.254,Luc Besson,"Música, Documentário"
Honeyland,6.0,Rudolf Ising,"Animação, Família"
Transformers: O Despertar das Feras,7.311,Steven Caple Jr.,"Ficção científica, Aventura, Ação"
"Hedwig: Rock, Amor e Traição",7.404,John Cameron Mitchell,"Comédia, Música, Drama"
Holy Motors,6.992,Leos Carax,"Drama, Fantasia"
Reino de Deus,7.79,Francis Lee,"Romance, Drama"
Kaili Blues,7.143,Bi Gan,"Drama, Mistério"
Os Imperdoáveis,7.913,Clint Eastwood,Faroeste
Hóspede Indesejado,6.059,Deon Taylor,Thriller
Hóspede Indesejado,6.059,Deon Taylor,Thriller
Hóspede Indesejado,6.059,Deon Taylor,Thriller
Hóspede Indesejado,6.059,Deon Taylor,Thriller
Forbidden Lies,7.7,Anna Broinowski,Documentário
"Jovens, Loucos e Mais Rebeldes",6.4,Richard Linklater,Comédia
Behemoth,4.6,Peter Szewczyk,Terror
The Past,2.0,Gagan Puri,"Drama, Terror"
Oasis Knebworth 1996,7.7,Jake Scott,"Documentário, Música"
One Child Nation,7.163,Nanfu Wang,Documentário
A Festa Nunca Termina,6.915,Michael Winterbottom,"Comédia, Drama, Música"
Doce Vingança 3: A Vingança é Minha,5.75,R.D. Braunstein,"Terror, Thriller"
Sin Señas Particulares,7.075,Fernanda Valadez,Drama
Nômade: seguindo os passos de Bruce Chatwin,7.1,Werner Herzog,Documentário
A Incrível História de Henry Sugar,7.235,Wes Anderson,"Comédia, Fantasia, Aventura"
Desejo e Reparação,7.648,Joe Wright,"Drama, Romance"
A Árvore da Vida,6.742,Terrence Malick,"Drama, Fantasia"
Decisão de Partir,7.359,박찬욱,"Thriller, Mistério, Romance"
Alexandra,8.5,Theo Frenkel Sr.,"Drama, Romance"
Os Fabelmans,7.631,Steven Spielberg,Drama
Nu,5.757,Michael Tiddes,Comédia
A Hospedeira,6.289,Andrew Niccol,"Ação, Aventura, Ficção científica"
A Hospedeira,6.289,Andrew Niccol,"Ação, Aventura, Ficção científica"
A Hospedeira,6.289,Andrew Niccol,"Ação, Aventura, Ficção científica"
A Hospedeira,6.289,Andrew Niccol,"Ação, Aventura, Ficção científica"
رویاهای دم صبح,8.0,Mehrdad Oskouei,Documentário
The Departure,0.0,Daniel Robinson,"Ficção científica, Drama"
Restrepo,7.261,Tim Hetherington,"Guerra, Documentário"
O Barco: Inferno no Mar,8.09,Wolfgang Petersen,"Drama, História, Guerra"
Mulheres à Beira de um Ataque de Nervos,7.408,Pedro Almodóvar,"Comédia, Drama"
O Motorista de Aplicativo,5.0,Tyler Savage,"Thriller, Terror"
O Gigante de Ferro,7.9,Brad Bird,"Família, Animação, Ficção científica, Aventura"
Uma Mulher Alta,7.1,Kantemir Balagov,"Drama, Guerra"
Fred Rogers: O Padrinho da Criançada,8.006,Morgan Neville,Documentário
Passing Strange,5.9,Spike Lee,"Música, Documentário"
O Atalho,6.523,Kelly Reichardt,Faroeste
O Fim de um Longo Dia,7.2,Terence Davies,Drama
Sing - Quem Canta Seus Males Espanta,7.113,Garth Jennings,"Animação, Comédia, Família, Música"
Fruitvale Station: A Última Parada,7.374,Ryan Coogler,Drama
O Casamento de Rachel,6.292,Jonathan Demme,"Drama, Romance"
A Substância,7.8,Coralie Fargeat,"Drama, Terror, Ficção científica"
Along With the Gods: The Last 49 Days,8.12,김용화,"Ação, Aventura, Fantasia, Thriller"
Watchers of the Sky,5.6,Edet Belzberg,Documentário
Depuis qu'Otar est parti...,6.7,Julie Bertuccelli,Drama
Sound and Fury,7.107,Josh Aronson,Documentário
Paragraph 175,6.516,Jeffrey Friedman,"História, Documentário"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
O Círculo,5.5,James Ponsoldt,"Drama, Thriller, Ficção científica"
Atlantic City,6.8,Louis Malle,"Crime, Drama, Romance"
A Memória Infinita,8.169,Maite Alberdi,Documentário
A Criada,8.215,박찬욱,"Thriller, Drama, Romance"
EO,6.505,Jerzy Skolimowski,"Drama, Aventura"
Quem Quer Ser um Milionário?,7.731,Danny Boyle,"Drama, Romance"
Beyond Utopia,8.1,Madeleine Gavin,"Documentário, História"
Black Is King,7.3,Beyoncé,Música
The Work,7.452,Gethin Aldous,Documentário
Prancer: Um Conto de Natal,7.043,Phil Hawkins,"Família, Fantasia"
Paranoid Park,6.544,Gus Van Sant,"Drama, Crime"
Irresistível Paixão,6.7,Steven Soderbergh,"Romance, Comédia, Crime"
Brazil: O Filme,7.674,Terry Gilliam,"Comédia, Ficção científica"
Batman: O Cavaleiro das Trevas,8.516,Christopher Nolan,"Drama, Ação, Crime, Thriller"
Sombra Lunar,6.17,Jim Mickle,"Ficção científica, Thriller"
