titulo,nota,tipo de nota,diretor,generos
Irmão Urso,7.271,0 a 10,Aaron Blaise,"Aventura, Animação, Família"
V de Víctor,7.167,0 a 10,Frank Ariza,Comédia
Katt Williams: Woke Foke,5.962,0 a 10,Troy Miller,"Comédia, Documentário, Cinema TV"
Garfield - O Filme,5.719,0 a 10,Peter Hewitt,"Animação, Comédia, Família"
Divergente,6.917,0 a 10,Neil Burger,"Ação, Aventura, Ficção científica"
A Bruxa de Blair,6.336,0 a 10,Daniel Myrick,"Terror, Mistério"
Kingsman: Serviço Secreto,7.635,0 a 10,Matthew Vaughn,"Crime, Comédia, Ação, Aventura"
Indiana Jones e a Última Cruzada,7.849,0 a 10,Steven Spielberg,"Aventura, Ação"
Desce?,6.9,0 a 10,Daniel Stamm,"Terror, Thriller, Cinema TV"
Doutor Estranho,7.425,0 a 10,Scott Derrickson,"Ação, Aventura, Fantasia"
西廂艷譚,5.5,0 a 10,Lam Yee Hung,"História, Romance"
Meu Amigo Robô,8.104,0 a 10,Pablo Berger,"Animação, Drama, Comédia, Ficção científica"
A Vida em um Ano,8.258,0 a 10,Mitja Okorn,"Drama, Romance"
Annie,6.2,0 a 10,Will Gluck,"Comédia, Drama, Família"
A Saga Crepúsculo: Amanhecer - Parte 2,6.462,0 a 10,Bill Condon,"Aventura, Fantasia, Drama, Romance"
Resistência,7.11,0 a 10,Gareth Edwards,"Ação, Aventura, Ficção científica"
A Família Addams 2,6.971,0 a 10,Barry Sonnenfeld,"Comédia, Família, Fantasia"
肉体の門,5.857,0 a 10,Hideo Gosha,Drama
Luca,7.822,0 a 10,Enrico Casarosa,"Animação, Comédia, Fantasia, Aventura, Família"
Seven: Os Sete Crimes Capitais,8.375,0 a 10,David Fincher,"Crime, Mistério, Thriller"
O Poço,6.988,0 a 10,Galder Gaztelu-Urrutia,"Drama, Ficção científica, Thriller"
Em Ruínas,6.717,0 a 10,Heo Myeong-haeng,"Ficção científica, Ação"
Boyka: O Imbatível,7.148,0 a 10,Todor Chapkanov,"Ação, Drama"
O segredo da minha cunhada,7.3,0 a 10,Choi Jae-hoo,Romance
Os Croods 2: Uma Nova Era,7.486,0 a 10,Joel Crawford,"Animação, Família, Aventura, Fantasia, Comédia"
Debi & Lóide 2,5.563,0 a 10,Bobby Farrelly,Comédia
Cães de Guerra,5.781,0 a 10,Isaac Florentine,"Ação, Crime, Thriller"
맛있는 비행,4.2,0 a 10,Choi Sang-hoon,Romance
O Incrível Hulk,6.211,0 a 10,Louis Leterrier,"Ficção científica, Ação, Aventura"
Viagem Entre Estranhos,6.177,0 a 10,Hugo Martín Cuervo,Comédia
Gladiador 2,0.0,0 a 10,Ridley Scott,"Ação, Aventura"
Desafio no Bronx,7.865,0 a 10,Robert De Niro,"Drama, Crime"
Tatami,8.15,0 a 10,Guy Nattiv,"Thriller, Drama, Mistério"
Ninfomaniaca: Volume 2,6.735,0 a 10,Lars von Trier,"Drama, Mistério"
O Lorax: Em Busca da Trúfula Perdida,6.494,0 a 10,Chris Renaud,"Animação, Família"
Torturada Pelo Próprio Pai,7.684,0 a 10,Elisabeth Röhm,"Thriller, Crime, Cinema TV"
Caminhos Cruzados,7.833,0 a 10,Levan Akın,Drama
Operação Cupido,7.2,0 a 10,Nancy Meyers,"Comédia, Família, Romance"
You Shall Not Sleep Tonight,8.571,0 a 10,Hervé Freiburger,"Terror, Thriller"
Nice Girls,5.284,0 a 10,Noémie Saglio,"Comédia, Crime, Ação"
À Procura da Felicidade,7.901,0 a 10,Gabriele Muccino,Drama
Encontro Marcado,7.34,0 a 10,Martin Brest,"Fantasia, Drama, Romance"
Hércules,7.507,0 a 10,Ron Clements,"Animação, Família, Fantasia, Aventura, Comédia, Romance"
Destinos à Deriva,7.409,0 a 10,Albert Pintó,"Thriller, Drama"
Prenda-Me se For Capaz,7.977,0 a 10,Steven Spielberg,"Drama, Crime"
E N V O Y,6.46,0 a 10,David Weinstein,Ficção científica
Animais Fantásticos: Os Crimes de Grindelwald,6.856,0 a 10,David Yates,"Fantasia, Aventura"
Os Pinguins de Madagascar: O Filme,6.532,0 a 10,Simon J. Smith,"Família, Animação, Aventura, Comédia"
O Bom Dinossauro,6.7,0 a 10,Peter Sohn,"Aventura, Animação, Família"
封神第二部：魔道争锋,0.0,0 a 10,Wuershan,"Ação, Fantasia, Guerra, Aventura"
Nada de Novo no Front,7.732,0 a 10,Edward Berger,"Drama, Guerra, Ação"
New Life,6.167,0 a 10,John Rosman,"Terror, Thriller, Mistério, Ficção científica"
Os Caras Malvados: Um Natal do Mal,6.6,0 a 10,Bret Haaland,"Animação, Comédia, Família, Ação"
2012,5.843,0 a 10,Roland Emmerich,"Ação, Aventura, Ficção científica"
Pantera Negra,7.384,0 a 10,Ryan Coogler,"Ação, Aventura, Ficção científica"
Monstro,7.982,0 a 10,Hirokazu Kore-eda,"Mistério, Thriller, Drama"
Watchmen: O Filme,7.337,0 a 10,Zack Snyder,"Mistério, Ação, Ficção científica"
The Deep Dark,5.607,0 a 10,Mathieu Turi,"Aventura, Terror, Drama"
O Gigante de Ferro,7.9,0 a 10,Brad Bird,"Família, Animação, Ficção científica, Aventura"
Terra à Deriva 2,7.225,0 a 10,Frant Gwo,Ficção científica
Capitão América: O Primeiro Vingador,7.002,0 a 10,Joe Johnston,"Ação, Aventura, Ficção científica"
(500) Dias com Ela,7.3,0 a 10,Marc Webb,"Comédia, Drama, Romance"
L.E.T.H.A.L. Ladies: Return to Savage Beach,6.087,0 a 10,Andy Sidaris,"Ação, Thriller"
Black Clover: A Espada do Rei Mago,8.147,0 a 10,Ayataka Tanemura,"Animação, Fantasia, Ação, Aventura"
Alien: A Ressurreição,6.152,0 a 10,Jean-Pierre Jeunet,"Ficção científica, Terror, Ação"
Mavka: Aventura na Floresta,7.239,0 a 10,Oleg Malamuzh,"Animação, Aventura, Família, Fantasia"
After: Depois da Promessa,6.801,0 a 10,Castille Landon,"Romance, Drama"
Tá Chovendo Hambúrguer,6.626,0 a 10,Christopher Miller,"Animação, Comédia, Família"
Kung Fu Panda,7.289,0 a 10,Mark Osborne,"Ação, Aventura, Animação, Família, Comédia"
A Carne,5.413,0 a 10,Marco Ferreri,"Drama, Romance"
65: Ameaça Pré-Histórica,5.995,0 a 10,Bryan Woods,"Ação, Aventura, Ficção científica"
After: Depois do Desencontro,7.1,0 a 10,Castille Landon,"Romance, Drama"
Q Sexual Desire,6.288,0 a 10,Laurent Bouhnik,"Drama, Romance"
Dragon Ball: Uma Aventura Mística,6.8,0 a 10,Kazuhisa Takenouchi,"Ação, Animação"
Birdman ou (A Inesperada Virtude da Ignorância),7.466,0 a 10,Alejandro González Iñárritu,"Drama, Comédia"
Advogado do Diabo,7.466,0 a 10,Taylor Hackford,"Drama, Mistério, Thriller, Terror"
映画クレヨンしんちゃん オラたちの恐竜日記,9.0,0 a 10,Shinobu Sasaki,"Animação, Aventura, Comédia, Família"
A Era do Gelo 3,6.754,0 a 10,Carlos Saldanha,"Animação, Comédia, Família, Aventura"
The Killer's Game,6.0,0 a 10,J.J. Perry,"Ação, Comédia, Crime"
범죄도시 4,6.877,0 a 10,Heo Myeong-haeng,"Crime, Ação, Drama"
A Jovem e o Mar,7.896,0 a 10,Joachim Rønning,"História, Drama"
Lego Batman: O Filme,7.225,0 a 10,Chris McKay,"Animação, Ação, Comédia, Família"
Todo Mundo em Pânico,6.355,0 a 10,Keenen Ivory Wayans,Comédia
Está Tudo Bem Comigo?,6.435,0 a 10,Tig Notaro,"Comédia, Romance, Drama"
O Predador 2: A Caçada Continua,6.281,0 a 10,Stephen Hopkins,"Ficção científica, Ação, Thriller"
A Chegada,7.606,0 a 10,Denis Villeneuve,"Drama, Ficção científica, Mistério"
The Childe,7.1,0 a 10,Park Hoon-jung,"Ação, Thriller, Drama"
After: Depois da Verdade,7.2,0 a 10,Roger Kumble,"Romance, Drama"
Tudo em Todo o Lugar ao Mesmo Tempo,7.783,0 a 10,Daniel Scheinert,"Ação, Aventura, Ficção científica"
Sobrenatural: A Origem,6.3,0 a 10,Leigh Whannell,"Terror, Thriller"
Van Helsing: O Caçador de Monstros,6.373,0 a 10,Stephen Sommers,"Terror, Aventura, Ação"
Uma Noite Alucinante 3,7.256,0 a 10,Sam Raimi,"Fantasia, Terror, Comédia"
...E o Vento Levou,7.944,0 a 10,Victor Fleming,"Drama, Guerra, Romance"
Biônicos,5.917,0 a 10,Afonso Poyart,"Ficção científica, Ação, Aventura"
Malévola: Dona do Mal,7.308,0 a 10,Joachim Rønning,"Família, Fantasia, Aventura, Ação"
O Segredo da Cabana,6.621,0 a 10,Drew Goddard,"Terror, Mistério"
Garota Infernal,5.951,0 a 10,Karyn Kusama,"Terror, Comédia"
M家の新妻 変態洗礼,5.8,0 a 10,Tadashi Kyouya,"Drama, Romance"
Atraídos Pelo Destino,6.595,0 a 10,Andrew Bergman,"Comédia, Drama, Romance"
S.W.A.T.: Comando Especial,6.2,0 a 10,Clark Johnson,"Ação, Thriller, Crime"
Kill Bill: Volume 1,7.97,0 a 10,Quentin Tarantino,"Ação, Crime"
Divergente,6.917,0 a 10,Neil Burger,"Ação, Aventura, Ficção científica"
O Retorno dos Thundermans,7.034,0 a 10,Trevor Kirschner,"Família, Ficção científica, Ação, Comédia"
Os Mercenários 3,6.217,0 a 10,Patrick Hughes,"Ação, Aventura, Thriller"
O Conde de Monte Cristo,8.4,0 a 10,Alexandre de La Patellière,"Aventura, História, Ação, Drama, Romance, Thriller"
Hotel Transilvânia,6.961,0 a 10,Genndy Tartakovsky,"Animação, Comédia, Família, Fantasia"
Projeto Caça ao Lobo,6.379,0 a 10,Kim Hong-sun,"Ação, Thriller, Terror, Crime"
O Jogo Favorito,3.6,0 a 10,Bernar Hébert,Drama
Olhos Famintos,6.466,0 a 10,Victor Salva,"Terror, Thriller, Mistério, Drama"
Os Dez Mandamentos,7.763,0 a 10,Cecil B. DeMille,"Drama, História"
A Entrega,6.783,0 a 10,Michaël R. Roskam,"Drama, Crime"
Cinderela II: Os Sonhos Se Realizam,6.1,0 a 10,John Kafka,"Família, Animação, Romance, Fantasia"
Odio el verano,6.5,0 a 10,Fernando García-Ruiz Rubio,Comédia
Casi el Paraíso,7.4,0 a 10,Edgar San Juan,"Drama, Crime, Comédia"
(500) Dias com Ela,7.3,0 a 10,Marc Webb,"Comédia, Drama, Romance"
Desce?,6.9,0 a 10,Daniel Stamm,"Terror, Thriller, Cinema TV"
A Chamada,6.676,0 a 10,Nimród Antal,"Thriller, Ação, Aventura"
Gigolô por Acidente,5.972,0 a 10,Mike Mitchell,Comédia
Cruella,8.012,0 a 10,Craig Gillespie,"Comédia, Crime, Família, Aventura"
Sobrenatural: A Porta Vermelha,6.618,0 a 10,Patrick Wilson,"Terror, Thriller"
A Incrível História de Adaline,7.48,0 a 10,Lee Toland Krieger,"Romance, Fantasia, Drama"
Todo Mundo em Pânico 2,5.801,0 a 10,Keenen Ivory Wayans,Comédia
화려한 외출,6.9,0 a 10,Ko Kyeong-Ah,"Romance, Drama, Comédia"
டிமான்டி காலனி 2,6.5,0 a 10,R. Ajay Gnanamuthu,"Terror, Thriller"
Vizinhança do Barulho,7.007,0 a 10,Paris Barclay,"Comédia, Crime"
Branca de Neve e os Sete Anões,7.126,0 a 10,David Hand,"Fantasia, Animação, Família"
花と蛇 3,6.1,0 a 10,Yusuke Narita,"Drama, Romance, Thriller, Terror"
300,7.185,0 a 10,Zack Snyder,"Ação, Aventura, Guerra"
A Felicidade Não Se Compra,8.3,0 a 10,Frank Capra,"Drama, Família, Fantasia"
O Labirinto do Fauno,7.757,0 a 10,Guillermo del Toro,"Fantasia, Drama, Guerra"
Django Livre,8.181,0 a 10,Quentin Tarantino,"Drama, Faroeste"
엄마친구 2,5.25,0 a 10,Kim Dae-seong-I,Romance
O Poderoso Chefinho 2: Negócios da Família,7.377,0 a 10,Tom McGrath,"Animação, Comédia, Aventura, Família"
Spirit: O Corcel Indomável,7.696,0 a 10,Kelly Asbury,"Animação, Aventura, Comédia, Família, Drama, Faroeste, Romance"
Madagascar 3: Os Procurados,6.615,0 a 10,Eric Darnell,"Animação, Família, Comédia, Aventura"
Carros,6.977,0 a 10,John Lasseter,"Animação, Aventura, Comédia, Família"
Homem-Formiga,7.076,0 a 10,Peyton Reed,"Ficção científica, Ação, Aventura"
A Múmia - Tumba do Imperador Dragão,5.494,0 a 10,Rob Cohen,"Aventura, Ação, Fantasia"
A Bruxa dos Mortos: Baghead,6.595,0 a 10,Alberto Corredor,Terror
Jack Reacher: Sem Retorno,5.985,0 a 10,Edward Zwick,"Ação, Thriller"
A Múmia,6.935,0 a 10,Stephen Sommers,"Aventura, Ação, Fantasia"
Meninas Malvadas,6.0,0 a 10,Arturo Perez Jr.,Comédia
The Conjuring: Last Rites,0.0,0 a 10,Michael Chaves,Terror
Alma de Caçador,6.051,0 a 10,Mandla Dube,Ação
O Corvo: Vingança Maldita,3.8,0 a 10,Lance Mungia,"Ação, Terror, Fantasia"
Sin City: A Dama Fatal,6.382,0 a 10,Frank Miller,"Crime, Ação, Thriller"
Através da Minha Janela,7.383,0 a 10,Marçal Forés,"Romance, Drama, Comédia"
O Diabo Vem à Noite,6.778,0 a 10,Scott Leaver,Terror
O Menino do Pijama Listrado,7.842,0 a 10,Mark Herman,"Drama, Guerra, História"
Midsommar: O Mal Não Espera a Noite,7.165,0 a 10,Ari Aster,"Terror, Drama, Mistério"
A História de O,5.593,0 a 10,Just Jaeckin,Drama
Projeto X: Uma Festa Fora de Controle,6.879,0 a 10,Nima Nourizadeh,Comédia
Thriller Night,6.876,0 a 10,Sean Bishop,"Animação, Música, Terror, Comédia"
Elvis,7.532,0 a 10,Baz Luhrmann,"Drama, Música, História"
Tinker Bell: Fadas e Piratas,6.94,0 a 10,Peggy Holmes,"Animação, Família"
Culpa e Desejo,5.9,0 a 10,Catherine Breillat,Drama
Eternos,6.86,0 a 10,Chloé Zhao,"Ficção científica, Ação, Aventura"
내 손끝에 너의 온도가 닿을 때,9.333,0 a 10,Yang Kyeong-hui,"Romance, Drama"
Tinker Bell e o Monstro da Terra do Nunca,7.32,0 a 10,Steve Loter,"Aventura, Animação, Família"
Por Amor ou Por Dinheiro?,5.906,0 a 10,Bertrand Blier,"Comédia, Drama"
엄마의 직업,5.2,0 a 10,Do Bong-san,"Romance, Drama"
Caçada Fantasma,6.25,0 a 10,Oskar Mellander,"Mistério, Terror, Thriller"
Superman: O Filme,7.137,0 a 10,Richard Donner,"Ficção científica, Ação, Aventura"
Don't Sell My Baby,6.375,0 a 10,Roxanne Boisvert,"Cinema TV, Thriller"
Meu Primo Vinny,7.502,0 a 10,Jonathan Lynn,Comédia
Mortal Kombat Legends: Cage Bom de Luta,6.735,0 a 10,Ethan Spaulding,"Animação, Ação, Fantasia, Aventura"
One Piece 3D2Y,7.12,0 a 10,Naoyuki Ito,"Animação, Ação, Aventura, Comédia, Fantasia"
Coração Valente,7.941,0 a 10,Mel Gibson,"Ação, Drama, História, Guerra"
X-Men: Fênix Negra,5.983,0 a 10,Simon Kinberg,"Ficção científica, Ação, Aventura"
Pânico,7.4,0 a 10,Wes Craven,"Crime, Terror, Mistério"
O Exorcista: O Devoto,5.942,0 a 10,David Gordon Green,"Terror, Thriller"
A Pervertida,5.6,0 a 10,Tinto Brass,"Comédia, Drama, Romance"
Bob Esponja: O Incrível Resgate,7.473,0 a 10,Tim Hill,"Família, Animação, Fantasia, Aventura, Comédia"
A Fuga das Galinhas: A Ameaça dos Nuggets,7.028,0 a 10,Sam Fell,"Família, Animação, Aventura, Comédia"
Halloween - A Noite do Terror,7.557,0 a 10,John Carpenter,"Terror, Thriller"
Eu Vi o Brilho da TV,6.0,0 a 10,Jane Schoenbrun,"Drama, Terror"
A Cabana,7.484,0 a 10,Stuart Hazeldine,"Drama, Fantasia"
Premonição 5,6.098,0 a 10,Steven Quale,"Terror, Mistério"
"Se Beber, Não Case! - Parte III",6.208,0 a 10,Todd Phillips,Comédia
Tabu,5.0,0 a 10,Vilgot Sjöman,Drama
Juntos e Misturados,6.879,0 a 10,Frank Coraci,"Comédia, Romance"
Esquadrão Suicida,5.919,0 a 10,David Ayer,"Ação, Aventura, Fantasia"
Rambo: Até o Fim,6.54,0 a 10,Adrian Grünberg,"Ação, Thriller, Drama"
Rambo II - A Missão,6.64,0 a 10,George P. Cosmatos,"Ação, Aventura, Thriller, Guerra"
Como Sobreviver a um Ataque Zumbi,6.5,0 a 10,Christopher Landon,"Comédia, Terror"
O Culto de Chucky,5.812,0 a 10,Don Mancini,"Terror, Thriller"
Fúria de Titãs,5.904,0 a 10,Louis Leterrier,"Aventura, Fantasia, Ação"
Capitão América 2: O Soldado Invernal,7.663,0 a 10,Joe Russo,"Ação, Aventura, Ficção científica"
O Serviço de Entregas da Kiki,7.826,0 a 10,Hayao Miyazaki,"Animação, Família, Fantasia"
Através da Minha Janela: Além-mar,6.559,0 a 10,Marçal Forés,"Romance, Drama, Comédia"
A Incrível História de Adaline,7.48,0 a 10,Lee Toland Krieger,"Romance, Fantasia, Drama"
Jogos Mortais,7.4,0 a 10,James Wan,"Terror, Mistério, Crime"
A Vida Secreta de Walter Mitty,7.186,0 a 10,Ben Stiller,"Aventura, Comédia, Drama, Fantasia"
La notte che Evelyn uscì dalla tomba,5.971,0 a 10,Emilio P. Miraglia,"Mistério, Terror, Thriller"
It: A Coisa,7.242,0 a 10,Andy Muschietti,Terror
A Criada,8.216,0 a 10,Park Chan-wook,"Thriller, Drama, Romance"
Tróia,7.162,0 a 10,Wolfgang Petersen,"Aventura, História, Guerra"
Medidas Extremas,5.645,0 a 10,John Stephen Baltazar,"Ação, Comédia"
O Voyeur,5.468,0 a 10,Tinto Brass,"Drama, Romance"
O Jogo da Imitação,8.0,0 a 10,Morten Tyldum,"História, Drama, Thriller, Guerra"
Não! Não Olhe!,6.849,0 a 10,Jordan Peele,"Terror, Mistério, Ficção científica"
Capitã Marvel,6.815,0 a 10,Ryan Fleck,"Ação, Aventura, Ficção científica"
Observadores,6.6,0 a 10,Michael Mohan,Thriller
Super Nacho,6.474,0 a 10,Jared Hess,"Comédia, Família, Drama"
O Retorno dos Thundermans,7.034,0 a 10,Trevor Kirschner,"Família, Ficção científica, Ação, Comédia"
Herói por Encomenda,6.493,0 a 10,Pierre Morel,"Ação, Comédia"
Resgate 2,7.453,0 a 10,Sam Hargrave,"Ação, Thriller"
"Sem Dor, Sem Ganho",6.271,0 a 10,Michael Bay,"Ação, Crime, Comédia"
Uma Noite de Crime:  A Fronteira,6.949,0 a 10,Everardo Gout,"Terror, Ação, Thriller"
Prison Break: O Resgate Final,7.513,0 a 10,Kevin Hooks,"Ação, Drama, Thriller"
Wicked,0.0,0 a 10,Jon M. Chu,"Drama, Fantasia, Romance"
Cruella,8.012,0 a 10,Craig Gillespie,"Comédia, Crime, Família, Aventura"
Baywatch: S.O.S. Malibu,6.092,0 a 10,Seth Gordon,"Comédia, Ação, Crime"
Raya e o Último Dragão,7.848,0 a 10,Don Hall,"Animação, Família, Fantasia, Ação, Aventura"
The Last: Naruto O Filme,7.756,0 a 10,Tsuneo Kobayashi,"Ação, Romance, Animação"
60 Minutos,6.764,0 a 10,Oliver Kienle,Ação
O Telefone Preto,7.611,0 a 10,Scott Derrickson,"Terror, Thriller"
Rambo IV,6.7,0 a 10,Sylvester Stallone,"Ação, Thriller, Guerra"
A Fantástica Fábrica de Chocolate,7.492,0 a 10,Mel Stuart,"Família, Fantasia, Comédia"
As Crônicas de Nárnia: A Viagem do Peregrino da Alvorada,6.443,0 a 10,Michael Apted,"Aventura, Família, Fantasia"
O Predador,5.631,0 a 10,Shane Black,"Ficção científica, Ação, Aventura"
O Predador,5.631,0 a 10,Shane Black,"Ficção científica, Ação, Aventura"
Castigos da Traição,7.213,0 a 10,Nick Psinakis,"Thriller, Terror"
007: Sem Tempo para Morrer,7.376,0 a 10,Cary Joji Fukunaga,"Ação, Aventura, Thriller"
Top Gun - Ases Indomáveis,7.1,0 a 10,Tony Scott,"Ação, Drama"
Bob Esponja: O Filme,7.0,0 a 10,Stephen Hillenburg,"Família, Animação, Comédia, Fantasia, Aventura"
"Se Beber, Não Case! - Parte II",6.483,0 a 10,Todd Phillips,Comédia
Blade: O Caçador de Vampiros,6.799,0 a 10,Stephen Norrington,"Terror, Ação"
Abracadabra,7.036,0 a 10,Kenny Ortega,"Fantasia, Comédia, Família"
John Wick: De Volta ao Jogo,7.4,0 a 10,Chad Stahelski,"Ação, Thriller"
Dias Incríveis,6.603,0 a 10,Todd Phillips,Comédia
John Carter: Entre Dois Mundos,6.323,0 a 10,Andrew Stanton,"Ação, Aventura, Ficção científica"
Alita: Anjo de Combate,7.238,0 a 10,Robert Rodriguez,"Ação, Ficção científica, Aventura"
Orgulho e Preconceito,8.075,0 a 10,Joe Wright,"Drama, Romance"
Pai em Dose Dupla,6.275,0 a 10,Sean Anders,Comédia
Planeta dos Macacos: A Origem,7.326,0 a 10,Rupert Wyatt,"Thriller, Ação, Drama, Ficção científica"
Glass Onion: Um Mistério Knives Out,7.06,0 a 10,Rian Johnson,"Comédia, Crime, Mistério"
"RRR: Revolta, Rebelião, Revolução",7.753,0 a 10,S. S. Rajamouli,"Ação, Drama"
Lucy,6.454,0 a 10,Luc Besson,"Ação, Ficção científica"
Missão Ataque,6.739,0 a 10,Lakshya Raj Anand,"Ação, Ficção científica, Thriller"
13 Horas: Os Soldados Secretos de Benghazi,7.3,0 a 10,Michael Bay,"Guerra, Ação, História, Drama"
Alien³,6.369,0 a 10,David Fincher,"Ficção científica, Ação, Terror"
Matilda: O Musical,6.788,0 a 10,Matthew Warchus,"Família, Comédia, Fantasia"
American Pie: Caindo em Tentação,5.66,0 a 10,Andrew Waller,Comédia
Batman Begins,7.71,0 a 10,Christopher Nolan,"Ação, Crime, Drama"
Suzume,7.955,0 a 10,Makoto Shinkai,"Animação, Drama, Aventura, Fantasia"
A Hora do Pesadelo 4: O Mestre dos Sonhos,5.854,0 a 10,Renny Harlin,"Terror, Thriller"
정국: 아이 엠 스틸,9.5,0 a 10,Park Jun-soo,"Documentário, Música"
A Caça,7.1,0 a 10,Louis Lagayette,"Terror, Thriller"
Hijack 1971,6.4,0 a 10,Kim Sung-han,"Crime, Ação, Aventura, Thriller, Drama"
Que Horas Eu Te Pego?,6.791,0 a 10,Gene Stupnitsky,"Comédia, Romance"
O Outro Lado da Caixa,6.729,0 a 10,Caleb J. Phillips,"Terror, Thriller"
Jawan,7.2,0 a 10,Atlee,"Ação, Crime, Thriller"
Dentro da Mente de um Cachorro,7.25,0 a 10,Andy Mitchell,Documentário
Show de Vizinha,6.718,0 a 10,Luke Greenfield,"Comédia, Romance"
A Serbian Film - Terror sem Limites,5.508,0 a 10,Srđan Spasojević,"Crime, Terror, Thriller"
Monster High: O Filme,6.862,0 a 10,Todd Holland,"Família, Fantasia, Comédia, Aventura"
Pixels,5.733,0 a 10,Chris Columbus,"Ação, Comédia, Ficção científica"
Annabelle 2: A Criação do Mal,6.595,0 a 10,David F. Sandberg,Terror
Comemoração de 20 anos de Harry Potter: De Volta a Hogwarts,7.3,0 a 10,Joe Pearlman,Documentário
Mergulhando no Amor,6.708,0 a 10,Stelana Kliris,"Romance, Comédia, Música"
Taxi Driver: Motorista de Táxi,8.144,0 a 10,Martin Scorsese,"Crime, Drama"
12 Horas Para o Fim do Mundo,7.7,0 a 10,Dmitry Kiselev,"Ficção científica, Drama, Aventura, Família"
Brinquedo Assassino,6.713,0 a 10,Tom Holland,Terror
抓娃娃,6.5,0 a 10,Yan Fei,Comédia
Duro de Matar 3: A Vingança,7.269,0 a 10,John McTiernan,"Ação, Thriller"
Casi el Paraíso,7.4,0 a 10,Edgar San Juan,"Drama, Crime, Comédia"
O Lar das Crianças Peculiares,6.836,0 a 10,Tim Burton,"Fantasia, Aventura"
Observador,6.487,0 a 10,Chloe Okuno,"Terror, Mistério, Thriller"
Ele Não Está Tão a Fim de Você,6.554,0 a 10,Ken Kwapis,"Comédia, Romance, Drama"
007 A Serviço Secreto de Sua Majestade,6.572,0 a 10,Peter R. Hunt,"Aventura, Ação, Thriller"
Rambo: Programado Para Matar,7.493,0 a 10,Ted Kotcheff,"Ação, Aventura, Thriller, Guerra"
Arca de Noé,6.767,0 a 10,Sérgio Machado,"Animação, Música, Comédia, Fantasia, Família"
Caçada Mortal,6.332,0 a 10,Scott Frank,"Crime, Drama, Mistério, Thriller"
Falcão: O Campeão dos Campeões,6.397,0 a 10,Menahem Golan,"Ação, Drama"
Pretty Guardian Sailor Moon Cosmos: O Filme – Parte 2,7.87,0 a 10,Tomoya Takahashi,Animação
Arraste-me Para o Inferno,6.424,0 a 10,Sam Raimi,"Terror, Thriller"
Os Suspeitos,8.184,0 a 10,Bryan Singer,"Drama, Crime, Thriller"
F-Buddies,0.0,0 a 10,Sidney Zaid Pascua,Drama
Sorria,6.659,0 a 10,Parker Finn,"Terror, Mistério, Thriller"
Efeito Borboleta,7.576,0 a 10,Eric Bress,"Ficção científica, Thriller"
Efeito Borboleta,7.576,0 a 10,Eric Bress,"Ficção científica, Thriller"
Vida de Inseto,6.973,0 a 10,John Lasseter,"Família, Animação, Aventura, Comédia"
Jogos Mortais X,7.238,0 a 10,Kevin Greutert,"Terror, Thriller"
Godzilla,6.339,0 a 10,Gareth Edwards,"Ação, Drama, Ficção científica"
Fragmentado,7.346,0 a 10,M. Night Shyamalan,"Terror, Thriller"
O Iluminado,8.215,0 a 10,Stanley Kubrick,"Terror, Thriller"
Mulher?,6.8,0 a 10,James Bird,"Ficção científica, Mistério, Thriller"
Mulher-Maravilha,7.225,0 a 10,Patty Jenkins,"Ação, Aventura, Fantasia"
As Tartarugas Ninja II: O Segredo do Ooze,6.14,0 a 10,Michael Pressman,"Ficção científica, Aventura, Ação, Comédia, Família"
Os Suspeitos,8.1,0 a 10,Denis Villeneuve,"Drama, Thriller, Crime"
O Livro de Eli,6.793,0 a 10,Allen Hughes,"Ação, Thriller, Ficção científica"
玉蒲團III官人我要,6.5,0 a 10,Aman Chang,"Comédia, Romance, Drama"
Os Banshees de Inisherin,7.459,0 a 10,Martin McDonagh,"Drama, Comédia"
Straight Outta Compton: A História do N.W.A.,7.788,0 a 10,F. Gary Gray,"Drama, Música, História"
Moana,0.0,0 a 10,Thomas Kail,"Aventura, Comédia, Família, Fantasia"
Tom & Jerry: Velozes e Ferozes,7.016,0 a 10,Bill Kopp,"Animação, Comédia, Família"
Flutuar,6.903,0 a 10,Sherren Lee,"Romance, Drama"
Mogli: O Menino Lobo,6.866,0 a 10,Jon Favreau,"Família, Aventura, Drama, Fantasia"
Os Mercenários,6.244,0 a 10,Sylvester Stallone,"Thriller, Aventura, Ação"
Velozes & Furiosos 9,7.082,0 a 10,Justin Lin,"Ação, Aventura, Crime"
Superbad: É Hoje,7.253,0 a 10,Greg Mottola,Comédia
Operação Natal,0.0,0 a 10,Jake Kasdan,"Ação, Aventura, Comédia, Fantasia"
Os Instrumentos Mortais: Cidade dos Ossos,6.442,0 a 10,Harald Zwart,"Fantasia, Ação, Mistério"
Aladdin,7.7,0 a 10,John Musker,"Animação, Família, Aventura, Fantasia, Romance"
Dragon Ball Z: A Batalha dos Deuses,6.791,0 a 10,Masahiro Hosoda,"Animação, Ação, Ficção científica"
Os Rejeitados,7.714,0 a 10,Alexander Payne,"Comédia, Drama"
American Pie: O Último Stifler Virgem,5.509,0 a 10,Joe Nussbaum,Comédia
Farejando Vingança,6.425,0 a 10,John Stalberg Jr.,Ação
Detona Ralph,7.339,0 a 10,Rich Moore,"Família, Animação, Comédia, Aventura"
Quarteto Fantástico,5.786,0 a 10,Tim Story,"Ação, Fantasia, Ficção científica"
