id,titulo,nota,tipo de nota,diretor
98,30 Dias de Noite,6.421,0 a 10,David Slade
99,30 Dias de Noite 2: Dias Sombrios,5.0,0 a 10,Ben Ketai
100,30 Noites de Atividade Paranormal com a Filha dos Homens que Não Amavam as Mulheres,4.076,0 a 10,Craig Moss
101,300,7.185,0 a 10,Zack Snyder
102,3000 Milhas para o Inferno,5.84,0 a 10,Demian Lichtenstein
103,300: A Ascensão do Império,6.11,0 a 10,Noam Murro
104,3096 Dias de Cativeiro,7.4,0 a 10,Sherry Hormann
105,3391 Kilometre,6.2,0 a 10,Deniz Enyüksek
106,365 Dias,7.045,0 a 10,Barbara Białowąs
107,365 Dias Finais,6.418,0 a 10,Tomasz Mandes
108,365 Dias: Hoje,5.87,0 a 10,Barbara Białowąs
109,3D 豪情,5.2,0 a 10,Lee Kung-Lok
110,4 Minutos,6.9,0 a 10,Chris Kraus
111,42: A História de uma Lenda,7.185,0 a 10,Brian Helgeland
112,47 Ronins,6.179,0 a 10,Carl Rinsch
113,48 Horas,6.682,0 a 10,Walter Hill
114,"48 Horas, Parte 2",5.978,0 a 10,Walter Hill
115,50 Greatest Harry Potter Moments,7.437,0 a 10,Diretor não encontrado
116,50%,7.176,0 a 10,Jonathan Levine
117,50대 묵은지 장모님의 유혹,8.7,0 a 10,김태훈
118,57 Segundos,6.127,0 a 10,Rusty Cundieff
119,6 Balas,6.2,0 a 10,Ernie Barbarash
120,60 Minutos,6.764,0 a 10,Oliver Kienle
121,60 Segundos,6.432,0 a 10,Dominic Sena
122,65: Ameaça Pré-Histórica,5.995,0 a 10,Bryan Woods
123,7 Desejos,5.7,0 a 10,John R. Leonetti
124,7 Prisioneiros,7.056,0 a 10,Alexandre Moratto
125,71: Esquecido em Belfast,6.795,0 a 10,Yann Demange
126,72 Horas,7.079,0 a 10,Paul Haggis
127,8 Mile: Rua das Ilusões,7.14,0 a 10,Curtis Hanson
128,8 Segundos,7.268,0 a 10,John G. Avildsen
129,80 for Brady: Quatro Amigas e uma Paixão,6.424,0 a 10,Kyle Marvin
130,82년생 김지영,7.337,0 a 10,Kim Do-young
131,8mm: Oito Milímetros,6.454,0 a 10,Joel Schumacher
132,9 ½ Semanas de Amor,6.114,0 a 10,Adrian Lyne
133,9 ½ Semanas de Amor 2,4.7,0 a 10,Anne Goursaud
134,90 Minutos no Paraíso,5.994,0 a 10,Michael Polish
135,91:an Karlsson,6.75,0 a 10,Hugo Bolander
136,97 Minutos,4.728,0 a 10,Timo Vuorensola
137,99 Luas de Paixão,4.5,0 a 10,Jan Gassmann
138,9: A Salvação,6.926,0 a 10,Shane Acker
139,9to5: Days in Porn,5.815,0 a 10,Jens Hoffmann
140,A 36ª Câmara de Shaolin,7.482,0 a 10,Lau Kar-leung
141,A 5ª Onda,5.943,0 a 10,J Blakeson
142,A Abóbora Mágica,7.5,0 a 10,Frankie Chung
143,A Academia do Sr. Kleks,6.3,0 a 10,Maciej Kawulski
144,A Aparição,6.363,0 a 10,Mike Marvin
145,A Arte da Guerra,5.691,0 a 10,Christian Duguay
146,A Arte de Amar,6.427,0 a 10,Recai Karagöz
147,A Assassina,6.2,0 a 10,John Badham
148,A Assistente,6.289,0 a 10,Kitty Green
149,A Atração do Sexo,5.0,0 a 10,Tinto Brass
150,A Autópsia,6.794,0 a 10,André Øvredal
151,A Avó,5.835,0 a 10,Paco Plaza
152,A Babá,6.139,0 a 10,McG
153,A Babá: O Chamado das Sombras,6.433,0 a 10,Svyatoslav Podgaevsky
154,A Babá: Rainha da Morte,6.352,0 a 10,McG
155,A Bailarina,6.952,0 a 10,Lee Chung-hyun
156,A Balada de Buster Scruggs,7.14,0 a 10,Joel Coen
157,A Balada do Pistoleiro,6.9,0 a 10,Robert Rodriguez
158,A Baleia,7.856,0 a 10,Darren Aronofsky
159,A Barraca do Beijo,7.2,0 a 10,Vince Marcello
160,A Barraca do Beijo 2,7.648,0 a 10,Vince Marcello
161,A Barraca do Beijo 3,6.901,0 a 10,Vince Marcello
162,A Batalha Esquecida,7.104,0 a 10,Matthijs van Heijningen Jr.
163,A Batalha da Grã-Bretanha,6.823,0 a 10,Guy Hamilton
164,A Batalha de Argel,7.888,0 a 10,Gillo Pontecorvo
165,A Batalha de Midway,6.626,0 a 10,Jack Smight
166,A Batalha de Natal,6.1,0 a 10,Reginald Hudlin
167,A Batalha de Riddick,6.523,0 a 10,David Twohy
168,A Batalha do Biscoito Pop-Tart,5.303,0 a 10,Jerry Seinfeld
169,A Batalha do Rio da Prata,6.1,0 a 10,Michael Powell
170,A Batalha dos Três Reinos,7.148,0 a 10,John Woo
171,A Batalha dos Três Reinos II,7.292,0 a 10,John Woo
172,A Batida Perfeita,7.012,0 a 10,Nisha Ganatra
173,A Bela Adormecida,6.952,0 a 10,Clyde Geronimi
174,A Bela da Tarde,7.38,0 a 10,Luis Buñuel
175,A Bela e a Fera,4.3,0 a 10,Robert Tieman
176,A Bela e a Fera: O Natal Encantado,6.217,0 a 10,Andrew Knight
177,A Bela e o Bilionário,6.725,0 a 10,Brian Brough
178,A Beleza de um Dia,4.1,0 a 10, Andrew Haigh
179,A Boa Metade,5.8,0 a 10,Robert Schwartzman
180,A Bolha Assassina,6.757,0 a 10,Chuck Russell
181,A Brigada do Diabo,6.3,0 a 10,Andrew V. McLaglen
182,A Bruma Assassina,6.723,0 a 10,John Carpenter
183,A Bruxa,6.962,0 a 10,Robert Eggers
184,A Bruxa de Blair,6.336,0 a 10,Daniel Myrick
185,A Bruxa de Blair 2: O Livro das Sombras,4.292,0 a 10,Joe Berlinger
186,A Bruxa do Cabelo Branco do Reino Lunar,6.257,0 a 10,Jacob Cheung
187,A Bruxa do Gelo,4.4,0 a 10,Richard John Taylor
188,A Bruxa dos Mortos: Baghead,6.595,0 a 10,Alberto Corredor
189,A Busca de Groot,7.2,0 a 10,Kirsten Lepore
190,A Busca pelo Ouro de Tom Sawyer,3.917,0 a 10,Kirk Harris
191,A Bíblia... No Início,7.261,0 a 10,John Huston
192,A Bússola de Ouro,4.3,0 a 10,Chris Weitz
193,A Cabana,7.484,0 a 10,Stuart Hazeldine
194,A Caixa,5.629,0 a 10,Richard Kelly
195,A Caminho da Lua,7.222,0 a 10,Glen Keane
196,A Caminho de Casa,7.369,0 a 10,Charles Martin Smith
197,A Carne,5.413,0 a 10,Marco Ferreri
198,A Carta,7.3,0 a 10,William Wyler
199,A Cartada Final,6.695,0 a 10,Frank Oz
200,A Casa Amaldiçoada,5.451,0 a 10,Jan de Bont
201,A Casa Assassina,5.7,0 a 10,William Butler
202,A Casa Gucci,4.1,0 a 10, Ridley Scott
203,A Casa Monstro,6.687,0 a 10,Gil Kenan
204,A Casa Mórbida,0.0,0 a 10,Danielle Krudy
205,A Casa Profunda,6.059,0 a 10,Alexandre Bustillo
206,A Casa Que Jack Construiu,7.1,0 a 10,Lars von Trier
207,A Casa Sombria,6.612,0 a 10,David Bruckner
208,A Casa da Colina,5.586,0 a 10,William Malone
209,A Casa da Noite Eterna,6.7,0 a 10,John Hough
210,A Casa das Coelhinhas,5.656,0 a 10,Fred Wolf
211,A Casa de Cera,6.0,0 a 10,Jaume Collet-Serra
212,A Casa de Vidro,5.906,0 a 10,Daniel Sackheim
213,A Casa de Vidro 2,5.4,0 a 10,Steve Antin
214,A Casa do Espanto,6.114,0 a 10,Steve Miner
215,A Casa do Lago,7.024,0 a 10,Alejandro Agresti
216,A Casa do Medo - Incidente em Ghostland,7.376,0 a 10,Pascal Laugier
217,A Casa do Terror,6.689,0 a 10,Scott Beck
218,A Casa dos 1000 Corpos,6.207,0 a 10,Rob Zombie
219,A Casa dos Espíritos,6.89,0 a 10,Bille August
220,A Casa dos Maus Espíritos,6.779,0 a 10,William Castle
221,A Casa dos Mortos Vivos,6.234,0 a 10,Lucio Fulci
222,A Casa dos Prazeres,6.1,0 a 10,Anissa Bonnefont
223,A Casa que Pingava Sangue,6.313,0 a 10,Peter Duffell
224,A Caverna,4.0,0 a 10,Sharon Maguire
225,A Caça,7.1,0 a 10,Louis Lagayette
226,A Caça ao Outubro Vermelho,4.5,0 a 10, John McTiernan
227,A Caçada,6.648,0 a 10,Craig Zobel
228,A Caçada ao Outubro Vermelho,7.383,0 a 10,John McTiernan
229,A Cela,6.274,0 a 10,Tarsem Singh
230,A Centopéia Humana,5.241,0 a 10,Tom Six
231,A Centopéia Humana 2,4.808,0 a 10,Tom Six
232,A Centopéia Humana 3 (Sequência Final),3.8,0 a 10,Tom Six
233,A Chamada,6.676,0 a 10,Nimród Antal
234,A Chance,5.766,0 a 10,Michael Chapman
235,A Chave,6.0,0 a 10,Tinto Brass
236,A Chave Mestra,6.622,0 a 10,Iain Softley
237,A Chave Mágica,6.447,0 a 10,Frank Oz
238,A Chefinha,6.887,0 a 10,Tina Gordon
239,A Chegada,4.3,0 a 10,Mike Nichols
240,A Chinesa,6.947,0 a 10,Jean-Luc Godard
241,A Chorona,6.417,0 a 10,Jayro Bustamante
242,A Cidade das Sombras,4.4,0 a 10, Gary Fleder
243,A Cidade dos Amaldiçoados,6.083,0 a 10,John Carpenter
244,A Cidade dos Mortos,6.412,0 a 10,John Llewellyn Moxey
245,A Cidadela dos Robinsons,6.9,0 a 10,Ken Annakin
246,A Cinco Passos de Você,8.265,0 a 10,Justin Baldoni
247,A Coisa,6.217,0 a 10,Matthijs van Heijningen Jr.
248,A Colheita do Mal,5.7,0 a 10,Stephen Hopkins
249,A Colina Escarlate,6.65,0 a 10,Guillermo del Toro
250,A Colônia,5.419,0 a 10,Jeff Renfroe
251,A Comilança,7.176,0 a 10,Marco Ferreri
252,A Companhia dos Lobos,6.3,0 a 10,Neil Jordan
253,A Conexão Francesa,7.1,0 a 10,Cédric Jimenez
254,A Conquista da Honra,6.9,0 a 10,Clint Eastwood
255,A Conquista do Oeste,7.012,0 a 10,Henry Hathaway
256,A Conquista do Planeta dos Macacos,6.175,0 a 10,J. Lee Thompson
257,A Cor Púrpura,4.3,0 a 10, Steven Spielberg
258,A Cor Que Caiu do Espaço,6.019,0 a 10,Richard Stanley
